draw,qp,alpha_i,b1,phi,psi,om,si,d1,d2,d3,pA1,pA2,pA3,pA4,g0,g1,g2,qc
1,0.0948949,0.647702,1.9976,0.623268,0.232273,363.381,5.04761,0.868428,0.825323,0.349203,0.0412959,0.161329,0.514652,0.77333,6.59634,0.855432,0.764288,0.998613
2,0.0948282,0.48547,1.99916,0.617798,0.260072,346.394,3.99728,0.902254,0.707455,0.361814,0.149102,0.185611,0.521585,0.712978,5.96772,0.881848,0.887595,0.998298
3,0.0977587,0.500699,1.99902,0.615383,0.252753,344.637,4.45661,0.88509,0.715546,0.371497,0.0982312,0.142836,0.511277,0.741907,5.56244,0.90153,0.89723,0.995976
4,0.0956155,0.559326,1.99936,0.613049,0.257296,346.315,4.4408,0.884597,0.720357,0.364366,0.133648,0.186134,0.515825,0.683237,5.54434,0.898862,0.886592,0.999362
5,0.0956029,0.647308,1.99798,0.610462,0.226593,358.966,5.34214,0.899839,0.848706,0.332862,0.0786603,0.143022,0.523897,0.796103,6.38567,0.865275,0.759378,0.999603
6,0.0979993,0.491514,1.99965,0.617867,0.255467,349.514,4.30815,0.922891,0.673061,0.388989,0.109214,0.223242,0.539496,0.696655,5.55254,0.892863,0.91034,0.999754
7,0.0994826,0.680634,1.99879,0.614767,0.23883,359.485,5.12053,0.858077,0.829193,0.337803,0.145323,0.136342,0.536808,0.786482,5.83878,0.865735,0.802952,0.999331
8,0.098879,0.634952,1.99926,0.617939,0.251695,362.419,4.7318,0.897106,0.784943,0.328931,0.0686263,0.151301,0.529544,0.773722,6.17864,0.865176,0.783099,0.996373
9,0.0979614,0.548842,1.99988,0.612401,0.245307,348.039,4.80058,0.906507,0.735734,0.364701,0.0564109,0.186116,0.527761,0.695032,5.48493,0.89369,0.878919,0.999386
10,0.097807,0.662707,1.99871,0.614711,0.230284,358.448,5.19076,0.890321,0.819284,0.33187,0.123177,0.179444,0.53299,0.78349,5.97718,0.883069,0.803884,0.998937
11,0.099314,0.554355,1.99793,0.609456,0.241483,359.013,4.89905,0.925954,0.769561,0.335615,0.0580313,0.153701,0.504051,0.692117,6.24295,0.851573,0.796113,0.999209
12,0.0953749,0.695671,1.99697,0.615918,0.229819,359.186,5.07185,0.854711,0.818547,0.339026,0.133071,0.143218,0.502013,0.818292,6.41254,0.872921,0.777093,0.996753
13,0.0934997,0.639397,1.996,0.612736,0.238889,362.688,4.78207,0.882985,0.776338,0.349968,0.120929,0.113509,0.524783,0.88987,6.58929,0.891303,0.760249,0.997521
