"Age","IMD","rural","Population","tot_pop","Proportion"
"0 to 4",1,"Urban",786507,10992590,0.0715488342601698
"5 to 14",1,"Urban",1596431.5,10992590,0.145227967203362
"15 to 19",1,"Urban",748291.833333333,10992590,0.068072386337827
"20 to 29",1,"Urban",1559181.66666667,10992590,0.14183933601332
"30 to 39",1,"Urban",1659895,10992590,0.151001265397873
"40 to 49",1,"Urban",1338220,10992590,0.121738371029939
"50 to 59",1,"Urban",1326965,10992590,0.12071449949466
"60 to 64",1,"Urban",478002.5,10992590,0.0434840651748132
"65 to 74",1,"Urban",733275.75,10992590,0.0667063676531191
"75+",1,"Urban",765819.75,10992590,0.0696669074349175
"0 to 4",1,"Rural",17133,308553,0.0555269273026028
"5 to 14",1,"Rural",37352,308553,0.121055377844325
"15 to 19",1,"Rural",17146,308553,0.0555690594484578
"20 to 29",1,"Rural",33310,308553,0.107955521417714
"30 to 39",1,"Rural",36704,308553,0.118955252420168
"40 to 49",1,"Rural",34674,308553,0.112376155798194
"50 to 59",1,"Rural",45273,308553,0.14672681840721
"60 to 64",1,"Rural",19472.5,308553,0.0631090930893558
"65 to 74",1,"Rural",31476.5,308553,0.10201326838501
"75+",1,"Rural",36012,308553,0.116712525886963
"0 to 4",2,"Urban",641610,10377620,0.0618263147041422
"5 to 14",2,"Urban",1275095.5,10377620,0.122869742773391
"15 to 19",2,"Urban",661875.333333333,10377620,0.0637791067059049
"20 to 29",2,"Urban",1558624.16666667,10377620,0.150190907613371
"30 to 39",2,"Urban",1628494,10377620,0.156923649160405
"40 to 49",2,"Urban",1299401,10377620,0.125211850115923
"50 to 59",2,"Urban",1278739,10377620,0.123220834834962
"60 to 64",2,"Urban",467865,10377620,0.0450840366095502
"65 to 74",2,"Urban",742377.75,10377620,0.0715364168277505
"75+",2,"Urban",823538.25,10377620,0.079357140654601
"0 to 4",2,"Rural",58086,1252223,0.0463863065923562
"5 to 14",2,"Rural",135873.5,1252223,0.108505833226191
"15 to 19",2,"Rural",62598.8333333333,1252223,0.0499901641587268
"20 to 29",2,"Rural",113261.666666667,1252223,0.0904484797569336
"30 to 39",2,"Rural",129595,1252223,0.103491949916269
"40 to 49",2,"Rural",141881,1252223,0.113303301408775
"50 to 59",2,"Rural",196324,1252223,0.156780381769062
"60 to 64",2,"Rural",90676.5,1252223,0.0724124217491613
"65 to 74",2,"Rural",148989,1252223,0.118979606667503
"75+",2,"Rural",174937.5,1252223,0.139701554755024
"0 to 4",3,"Urban",499705,8683929,0.0575436533394043
"5 to 14",3,"Urban",992317,8683929,0.114270510502792
"15 to 19",3,"Urban",518522,8683929,0.0597105296462005
"20 to 29",3,"Urban",1217815,8683929,0.140237788678374
"30 to 39",3,"Urban",1282299,8683929,0.147663459708157
"40 to 49",3,"Urban",1102375,8683929,0.126944266817474
"50 to 59",3,"Urban",1116394,8683929,0.128558628243045
"60 to 64",3,"Urban",427309.5,8683929,0.0492069315628905
"65 to 74",3,"Urban",702280.25,8683929,0.0808712565475835
"75+",3,"Urban",824912.25,8683929,0.094992974954079
"0 to 4",3,"Rural",125733,2801095,0.0448870887992017
"5 to 14",3,"Rural",303265.5,2801095,0.108266767103579
"15 to 19",3,"Rural",140753.166666667,2801095,0.0502493370152268
"20 to 29",3,"Rural",242578.333333333,2801095,0.0866012517723724
"30 to 39",3,"Rural",275692,2801095,0.0984229381723933
"40 to 49",3,"Rural",326879,2801095,0.116696863191002
"50 to 59",3,"Rural",449790,2801095,0.160576488837401
"60 to 64",3,"Rural",201627,2801095,0.0719814929518635
"65 to 74",3,"Rural",334914.5,2801095,0.119565562753138
"75+",3,"Rural",399862.5,2801095,0.142752209403822
"0 to 4",4,"Urban",441056,8270470,0.0533290127405093
"5 to 14",4,"Urban",927112,8270470,0.11209907054859
"15 to 19",4,"Urban",464577.833333333,8270470,0.0561730873013666
"20 to 29",4,"Urban",1001624.16666667,8270470,0.121108494035607
"30 to 39",4,"Urban",1085073,8270470,0.131198468769006
"40 to 49",4,"Urban",1065253,8270470,0.128801990697022
"50 to 59",4,"Urban",1139967,8270470,0.137835818278768
"60 to 64",4,"Urban",453850,8270470,0.0548759623092763
"65 to 74",4,"Urban",763376.75,8270470,0.0923014955619209
"75+",4,"Urban",928580.25,8270470,0.112276599757934
"0 to 4",4,"Rural",132281,2907504,0.0454964120427693
"5 to 14",4,"Rural",324111.5,2907504,0.111474137266879
"15 to 19",4,"Rural",150018.833333333,2907504,0.0515971201873956
"20 to 29",4,"Rural",251366.666666667,2907504,0.0864544525705439
"30 to 39",4,"Rural",282500,2907504,0.0971623770766953
"40 to 49",4,"Rural",352218,2907504,0.12114101992637
"50 to 59",4,"Rural",464739,2907504,0.15984122463804
"60 to 64",4,"Rural",200690.5,2907504,0.0690250125193293
"65 to 74",4,"Rural",337912.5,2907504,0.116220820332491
"75+",4,"Rural",411666,2907504,0.141587423439486
"0 to 4",5,"Urban",423900,8542215,0.0496241314460008
"5 to 14",5,"Urban",1019644.5,8542215,0.11936535196082
"15 to 19",5,"Urban",479967.833333333,8542215,0.0561877491181542
"20 to 29",5,"Urban",877866.666666667,8542215,0.102768036939677
"30 to 39",5,"Urban",944859,8542215,0.110610538367391
"40 to 49",5,"Urban",1148618,8542215,0.134463719304653
"50 to 59",5,"Urban",1247357,8542215,0.146022665081598
"60 to 64",5,"Urban",495327.5,8542215,0.0579858385676315
"65 to 74",5,"Urban",847664.25,8542215,0.0992323712292421
"75+",5,"Urban",1057010.25,8542215,0.123739597984832
"0 to 4",5,"Rural",113436,2413939,0.0469920739505017
"5 to 14",5,"Rural",283426.5,2413939,0.117412453255861
"15 to 19",5,"Rural",128973.5,2413939,0.0534286491912182
"20 to 29",5,"Rural",211940,2413939,0.0877984074991124
"30 to 39",5,"Rural",237750,2413939,0.0984904755256864
"40 to 49",5,"Rural",305423,2413939,0.12652473819761
"50 to 59",5,"Rural",371585,2413939,0.153933052989326
"60 to 64",5,"Rural",155735.5,2413939,0.0645150933805701
"65 to 74",5,"Rural",268219,2413939,0.111112584037956
"75+",5,"Rural",337450.5,2413939,0.139792471972158
