"Age","IMD","Population","tot_pop","Proportion"
"0 to 4",1,766988,11889125,0.0645117281549315
"5 to 14",1,1683845,11889125,0.141629009704247
"15 to 19",1,822837,11889125,0.069209214302987
"20 to 29",1,1730686,11889125,0.14556882865644
"30 to 39",1,1829809,11889125,0.153906111677689
"40 to 49",1,1497837,11889125,0.125983787705151
"50 to 59",1,1397686,11889125,0.117560039111373
"60 to 64",1,614543,11889125,0.0516895061663495
"65 to 74",1,868381,11889125,0.0730399419637694
"75+",1,676513,11889125,0.0569018325570637
"0 to 4",2,647661,11952046,0.0541882954600409
"5 to 14",2,1401289,11952046,0.117242604320633
"15 to 19",2,709143,11952046,0.0593323519671862
"20 to 29",2,1733824,11952046,0.145065037400291
"30 to 39",2,1824353,11952046,0.15263938910543
"40 to 49",2,1495473,11952046,0.125122761408381
"50 to 59",2,1492422,11952046,0.124867491306509
"60 to 64",2,688058,11952046,0.0575682188639502
"65 to 74",2,1023013,11952046,0.0855931277372928
"75+",2,936810,11952046,0.0783807224302852
"0 to 4",3,583900,11779940,0.0495673152834395
"5 to 14",3,1297212,11779940,0.110120425061588
"15 to 19",3,657075,11779940,0.0557791465830896
"20 to 29",3,1493460,11779940,0.126779932665192
"30 to 39",3,1659830,11779940,0.140903094582825
"40 to 49",3,1444426,11779940,0.122617432686414
"50 to 59",3,1547189,11779940,0.131340991550042
"60 to 64",3,748231,11779940,0.0635173863364329
"65 to 74",3,1175425,11779940,0.099781917395165
"75+",3,1173192,11779940,0.0995923578558125
"0 to 4",4,565393,11706312,0.0482981318112827
"5 to 14",4,1298561,11706312,0.110928275275766
"15 to 19",4,645181,11706312,0.055113941948583
"20 to 29",4,1335241,11706312,0.114061627607397
"30 to 39",4,1550719,11706312,0.132468620347724
"40 to 49",4,1450977,11706312,0.123948259708096
"50 to 59",4,1577465,11706312,0.134753370660205
"60 to 64",4,760899,11706312,0.0649990364172764
"65 to 74",4,1222971,11706312,0.104471075091797
"75+",4,1298905,11706312,0.110957661131875
"0 to 4",5,508301,11292678,0.0450115552750198
"5 to 14",5,1302549,11292678,0.115344562202163
"15 to 19",5,674919,11292678,0.0597660714314178
"20 to 29",5,1118378,11292678,0.0990356760371632
"30 to 39",5,1309891,11292678,0.115994717993376
"40 to 49",5,1446334,11292678,0.128077148750721
"50 to 59",5,1575376,11292678,0.139504199092545
"60 to 64",5,751048,11292678,0.0665075192970171
"65 to 74",5,1230160,11292678,0.108934302386024
"75+",5,1375722,11292678,0.121824247534553
