"Age","IMD","Population","tot_pop","Proportion"
"0 to 1",1,169579.067743014,55744600,0.00304207165793662
"1 to 4",1,678316.270972055,55744600,0.0121682866317465
"5 to 14",1,1637838.01877609,55744600,0.0293811063094199
"15 to 24",1,1598099.86033037,55744600,0.0286682451812439
"25 to 34",1,1552589.67640638,55744600,0.0278518399343862
"35 to 44",1,1465835.31326171,55744600,0.0262955571169532
"45 to 54",1,1311829.47999359,55744600,0.0235328530475345
"55 to 64",1,1198183.57614553,55744600,0.0214941640292608
"65 to 74",1,1068598.12129639,55744600,0.0191695360859418
"75+",1,594578.269329931,55744600,0.0106661141945575
"0 to 1",2,143196.175942137,55744600,0.00256879008804687
"1 to 4",2,572784.703768549,55744600,0.0102751603521875
"5 to 14",2,1363002.17626488,55744600,0.024450837861692
"15 to 24",2,1471627.39999429,55744600,0.0263994611136197
"25 to 34",2,1578737.25167356,55744600,0.0283209001710221
"35 to 44",2,1443021.91258558,55744600,0.0258863084959904
"45 to 54",2,1350270.71715383,55744600,0.024222448760128
"55 to 64",2,1322572.9003805,55744600,0.0237255788072836
"65 to 74",2,1258882.64467069,55744600,0.0225830420286574
"75+",2,823349.837314247,55744600,0.0147700375877528
"0 to 1",3,129098.783364467,55744600,0.00231589756432851
"1 to 4",3,516395.133457868,55744600,0.00926359025731403
"5 to 14",3,1261768.82789839,55744600,0.0226348171463854
"15 to 24",3,1312613.78069168,55744600,0.0235469225842804
"25 to 34",3,1388852.64835417,55744600,0.0249145683771015
"35 to 44",3,1353214.44080382,55744600,0.0242752560930354
"45 to 54",3,1348250.42024314,55744600,0.0241862067400814
"55 to 64",3,1415773.62793484,55744600,0.0253975026807053
"65 to 74",3,1446435.31666954,55744600,0.0259475414061548
"75+",3,1031102.83017728,55744600,0.0184969096590033
"0 to 1",4,125006.933418027,55744600,0.00224249404279566
"1 to 4",4,500027.733672109,55744600,0.00896997617118265
"5 to 14",4,1263080.96974478,55744600,0.0226583556029603
"15 to 24",4,1227304.63609068,55744600,0.0220165654806149
"25 to 34",4,1259945.0342475,55744600,0.0226021001899287
"35 to 44",4,1313682.29311525,55744600,0.0235660905830385
"45 to 54",4,1378898.81437568,55744600,0.0247360069742303
"55 to 64",4,1437561.1793534,55744600,0.0257883486356239
"65 to 74",4,1504943.69752443,55744600,0.0269971207529417
"75+",4,1141590.31226894,55744600,0.0204789398842029
"0 to 1",5,112384.039532355,55744600,0.00201605248817562
"1 to 4",5,449536.158129419,55744600,0.00806420995270248
"5 to 14",5,1266960.00731586,55744600,0.0227279414923753
"15 to 24",5,1183004.32289298,55744600,0.0212218640530739
"25 to 34",5,1012525.38931839,55744600,0.0181636497403943
"35 to 44",5,1216896.04023364,55744600,0.0218298461238154
"45 to 54",5,1403400.56823376,55744600,0.0251755428908587
"55 to 64",5,1418558.71618572,55744600,0.0254474642599591
"65 to 74",5,1513790.21983895,55744600,0.0271558181391372
"75+",5,1209103.75090961,55744600,0.0216900605782373
