age_group,N0,S0,E0,A0,I0,R0,N1,S1,E1,A1,I1,R1,N2,S2,E2,A2,I2,R2,N3,S3,E3,A3,I3,R3,Ntot,p0,p1,p2,p3,frac_S,frac_E,frac_A,frac_I,frac_R
1,30346.4686965624,29575.3164945815,46.1215771534402,2.26993290666375,52.6975797680509,670.063112152709,143.316968674726,134.439503210619,0.202554021010356,0.00971732380021109,0.225592326799754,8.43960179249688,2.01275972899372,1.93593224600458,0.00242372424449645,8.83872089797846e-05,0.00205195139557381,0.0722634201400913,0.0138611039850867,0.0137300717190534,5.91522146679342e-06,2.12857693468184e-07,4.94159331663654e-06,0.000119962593556359,30491.8122860701,0.995233356805948,0.0047001787670128,6.60098425803714e-05,4.54584458773513e-07,0.97441586552346,0.00151931149186172,7.47656062270892e-05,0.00173571936267029,0.0222543380157808
2,33744.1911025945,31225.8521746361,55.6679542932793,3.18200556455555,73.8717834206839,2385.61718467989,678.808261926855,627.150465640903,0.960821857993709,0.0469332982115358,1.08957899989883,49.5604621298479,12.4346158666768,11.9302137096761,0.0149893603333564,0.000548321231291696,0.0127295400404495,0.476134935395658,0.0936972272325575,0.0927696984637784,4.00644385443658e-05,1.44483444374733e-06,3.35425237140197e-05,0.000852476972077012,34435.5276776152,0.979923740925563,0.0197124396722433,0.000361098455731228,2.72094646290161e-06,0.925353196907708,0.00164492340893809,9.37836254192831e-05,0.00217723178820006,0.0707308642697351
3,36411.0192361114,30914.6680824284,56.356854149266,3.3755806519651,78.3657218009442,5358.25299708084,1806.06314595675,1646.68279809656,2.54449394966532,0.125515565771513,2.9139039836635,153.796434361086,40.1787099343082,38.4532934760616,0.0484496860767791,0.00177673718583901,0.041247804859231,1.63394223012473,0.330259238433899,0.32679393800955,0.000141476749894561,5.11321742059136e-06,0.000118705791744758,0.00320000466528923,38257.5913512409,0.951733184188826,0.0472079679396274,0.00105021535635711,8.63251518899365e-06,0.852121887879427,0.00154086907146197,9.15603399069254e-05,0.00212561715003579,0.144120065559168
4,38288.9016992345,28810.2193356898,52.8638061411738,3.21784996436465,74.7039283323827,9347.89677910676,3508.78163420098,3161.71073041329,4.90994409323253,0.243633001839503,5.6560568424187,336.261269850197,90.9143106675058,86.7783959884825,0.109594387648745,0.00402743891239455,0.0934989235689789,3.92879392889314,0.819421160111631,0.810089230759205,0.000351642271759786,1.27396214168338e-05,0.000295756413706117,0.00867179104554298,41889.4170652631,0.914047136048252,0.0837629616266646,0.00217034079337659,1.95615317070415e-05,0.765336946593792,0.00138182147949552,8.27302786128231e-05,0.0019206230473305,0.231277878600769
5,39437.2344507372,25586.1322855844,47.1096457318308,2.88839536221025,67.0554819285196,13734.0486421302,5545.91474199984,4943.81731712352,7.70187706299683,0.38364131862218,8.90641698310219,585.105489511596,163.263852544012,155.340719162931,0.196588172230091,0.0072377145668006,0.168027010667438,7.55128048361639,1.64115485155506,1.62009117500797,0.00070549194664192,2.5633402361035e-05,0.000595091714685329,0.0197374594833964,45148.0542001326,0.873509061451897,0.122838400020871,0.00361618801599499,3.63505112375416e-05,0.679695082251314,0.00121840946267941,7.26343601490574e-05,0.00168624146406248,0.317327632461795
6,40015.2405017896,22073.1922297814,40.7434202863448,2.5090830384204,58.2495646341185,17840.5462040493,7593.68711194281,6699.80140694589,10.4599980367842,0.522404108972678,12.1278616310325,870.77544122013,250.940576966767,237.743730002636,0.301455026792291,0.0111179816903367,0.258109270660058,12.6261646849892,2.90469455328994,2.86078971802727,0.0012507442387214,4.56098978914593e-05,0.00105885562753502,0.0415496254985181,47862.7728852524,0.83604099991706,0.15865539445757,0.005242917654779,6.06879705915438e-05,0.606182977029057,0.00107612077172466,6.35702980743687e-05,0.00147581492114518,0.391201516979999
7,40207.8453129029,18905.2074674989,34.967068105482,2.16041772561573,50.1551323802235,21215.3552271927,9404.71052134021,8209.40821210693,12.8363825591349,0.64229496646443,14.911185317642,1166.91244639004,348.974135506521,328.581375994763,0.417459852896435,0.0154239774214477,0.358075024209409,19.6018006572311,4.86194678179928,4.77279482068687,0.0020966445585451,7.67887480829014e-05,0.00178268756997534,0.0851958402358011,49966.3919165314,0.804697793270122,0.188220725183654,0.00698417720634063,9.73043398835188e-05,0.549328634660533,0.000965108852418805,5.64021805488276e-05,0.00130940363912886,0.448340450667371
8,40156.9204304853,16372.8287673416,30.3350416999396,1.87919501984608,43.626412554903,23708.251013869,10881.6269390358,9382.12741790702,14.6865628813786,0.7359000578273,17.0842723522013,1466.99278583734,459.332987617118,428.624555735528,0.545741395358897,0.020203256241029,0.469028271368952,29.6734589586201,8.03666147059489,7.85824827184193,0.00346949320981607,0.000127649636143968,0.00296344744961922,0.171852608457383,51505.9170186088,0.779656450267197,0.211269453470837,0.00891806251019981,0.000156033751766643,0.508513205964146,0.000884768549085778,5.11674412591934e-05,0.00118787665898304,0.489362981386526
9,39932.537723776,14478.2082760963,26.8633712716168,1.66777860130779,38.7182791261613,25387.0800186806,12058.8102175545,10234.8835927709,16.0357646808304,0.804401844730192,18.674574148775,1788.41188410934,592.773269843915,546.455622329066,0.697440952532858,0.0258755758002701,0.60071388708273,44.9936170994325,13.3012528724686,12.953678322534,0.0057453704693607,0.000212255122407341,0.00492760434081639,0.336689320002017,52597.4224640469,0.759210924281926,0.229266181737277,0.01127000605874,0.000252887922056651,0.480489346921778,0.00082898211039246,4.74979221399747e-05,0.00110268701486284,0.517531486030827
10,39542.125825951,13071.8586336583,24.2833195980174,1.51035368829325,35.0635843610833,26409.4099346453,13041.0113796666,10837.9652315746,16.9942297588406,0.853335871512936,19.8106010208404,2165.38798144081,766.616040674715,696.379901690531,0.891057366457296,0.0331354557282431,0.769255477227404,68.5426906847703,21.857091920891,21.2074364126357,0.00944060237484741,0.000349914513774009,0.0081234330527885,0.631741558313874,53371.6103382133,0.740883131975493,0.244343599472199,0.0143637419934813,0.000409526558827506,0.461432792589045,0.000790271214572876,4.49147948667358e-05,0.00104271847784886,0.536689302923667
