"age_group","outcome","week_no","cases"
1,"symptomatic",105,43.6965299656485
1,"symptomatic",106,35.5036949988784
1,"symptomatic",107,29.8909224558065
1,"symptomatic",108,25.8113112407228
1,"symptomatic",109,22.8704124616017
1,"symptomatic",110,20.8098599718315
1,"symptomatic",111,19.4599753655769
1,"symptomatic",112,18.7174236692691
1,"symptomatic",113,18.5327397071249
1,"symptomatic",114,18.9054059492982
1,"symptomatic",115,19.8859321460356
1,"symptomatic",116,21.5857936215339
1,"symptomatic",117,24.1977739522768
1,"symptomatic",118,28.031714350171
1,"symptomatic",119,33.5746021435878
1,"symptomatic",120,41.5904786333939
1,"symptomatic",121,53.2866738258809
1,"symptomatic",122,70.5912332918987
1,"symptomatic",123,96.6157702053003
1,"symptomatic",124,136.42066101013
1,"symptomatic",125,198.247124457901
1,"symptomatic",126,295.383789116575
1,"symptomatic",127,448.620714053705
1,"symptomatic",128,688.344823924728
1,"symptomatic",129,1052.85730330256
1,"symptomatic",130,1575.01929985849
1,"symptomatic",131,2247.49370091707
1,"symptomatic",132,2974.33050069426
1,"symptomatic",133,3563.07428547557
1,"symptomatic",134,3819.61030860127
1,"symptomatic",135,3685.89715380612
1,"symptomatic",136,3265.58480937135
1,"symptomatic",137,2723.04784874411
1,"symptomatic",138,2185.70099304744
1,"symptomatic",139,1717.56289943072
1,"symptomatic",140,1336.5093258739
1,"symptomatic",141,1037.32900545322
1,"symptomatic",142,806.683814953854
1,"symptomatic",143,630.301701977209
1,"symptomatic",144,495.690910356455
1,"symptomatic",145,392.790260470936
1,"symptomatic",146,313.817200381781
1,"symptomatic",147,252.875437528872
1,"symptomatic",148,205.544432407668
1,"symptomatic",149,168.525411550955
1,"symptomatic",150,139.359288034778
1,"symptomatic",151,116.210492018584
1,"symptomatic",152,97.7047556389553
1,"symptomatic",153,82.8087945030734
1,"symptomatic",154,70.7416281723579
1,"symptomatic",155,60.9094246563759
1,"symptomatic",156,52.857682318813
2,"symptomatic",105,53.3983224772687
2,"symptomatic",106,43.4163911805968
2,"symptomatic",107,36.5147305318863
2,"symptomatic",108,31.491710607689
2,"symptomatic",109,27.8594235788299
2,"symptomatic",110,25.3010506657391
2,"symptomatic",111,23.6080819917294
2,"symptomatic",112,22.6521930901691
2,"symptomatic",113,22.3698774467892
2,"symptomatic",114,22.7561726803555
2,"symptomatic",115,23.8666572131596
2,"symptomatic",116,25.8286444524252
2,"symptomatic",117,28.8644676624594
2,"symptomatic",118,33.3325725853139
2,"symptomatic",119,39.7966315295882
2,"symptomatic",120,49.1403571215187
2,"symptomatic",121,62.7582155208596
2,"symptomatic",122,82.8729807593164
2,"symptomatic",123,113.064006910087
2,"symptomatic",124,159.137304934942
2,"symptomatic",125,230.519126445033
2,"symptomatic",126,342.349387289665
2,"symptomatic",127,518.186646748033
2,"symptomatic",128,792.172696340882
2,"symptomatic",129,1206.63434977284
2,"symptomatic",130,1796.03134633153
2,"symptomatic",131,2546.51638851306
2,"symptomatic",132,3341.61430242507
2,"symptomatic",133,3958.42596081232
2,"symptomatic",134,4183.8284587552
2,"symptomatic",135,3972.39534510671
2,"symptomatic",136,3462.98072100578
2,"symptomatic",137,2849.57610686271
2,"symptomatic",138,2269.01030816907
2,"symptomatic",139,1779.97130339165
2,"symptomatic",140,1390.92867183647
2,"symptomatic",141,1089.24282940529
2,"symptomatic",142,857.383296134865
2,"symptomatic",143,679.309414237911
2,"symptomatic",144,542.099731667949
2,"symptomatic",145,435.841263465025
2,"symptomatic",146,353.066101321098
2,"symptomatic",147,288.177530132994
2,"symptomatic",148,236.979860636086
2,"symptomatic",149,196.319468617622
2,"symptomatic",150,163.817426516081
2,"symptomatic",151,137.67180384492
2,"symptomatic",152,116.511567036266
2,"symptomatic",153,99.2884256075195
2,"symptomatic",154,85.1965921585566
2,"symptomatic",155,73.6131304581521
2,"symptomatic",156,64.0535323595504
3,"symptomatic",105,55.6623311939752
3,"symptomatic",106,45.4849400459588
3,"symptomatic",107,38.3911945202951
3,"symptomatic",108,33.2067899566992
3,"symptomatic",109,29.4465880444564
3,"symptomatic",110,26.7928616698575
3,"symptomatic",111,25.0359615902851
3,"symptomatic",112,24.04706452783
3,"symptomatic",113,23.7633725803049
3,"symptomatic",114,24.182375790773
3,"symptomatic",115,25.3644991329838
3,"symptomatic",116,27.4452249318863
3,"symptomatic",117,30.659801869493
3,"symptomatic",118,35.3865822680566
3,"symptomatic",119,42.219716714212
3,"symptomatic",120,52.0897226712803
3,"symptomatic",121,66.4634933045955
3,"symptomatic",122,87.6768768021706
3,"symptomatic",123,119.487052488381
3,"symptomatic",124,167.980396495344
3,"symptomatic",125,243.022185609299
3,"symptomatic",126,360.423379632878
3,"symptomatic",127,544.710619401943
3,"symptomatic",128,831.249066885962
3,"symptomatic",129,1263.43394904706
3,"symptomatic",130,1875.38337884457
3,"symptomatic",131,2649.11394652588
3,"symptomatic",132,3458.15598938955
3,"symptomatic",133,4066.47837992166
3,"symptomatic",134,4254.68049594152
3,"symptomatic",135,3986.40282290234
3,"symptomatic",136,3419.91226798549
3,"symptomatic",137,2765.37407257633
3,"symptomatic",138,2164.99963551373
3,"symptomatic",139,1674.14115623832
3,"symptomatic",140,1294.66600406423
3,"symptomatic",141,1007.87856733248
3,"symptomatic",142,792.097895411648
3,"symptomatic",143,628.966541264887
3,"symptomatic",144,504.544107932046
3,"symptomatic",145,408.671442241533
3,"symptomatic",146,334.031317432282
3,"symptomatic",147,275.343864071227
3,"symptomatic",148,228.769774659961
3,"symptomatic",149,191.489571054817
3,"symptomatic",150,161.411369144384
3,"symptomatic",151,136.967641313244
3,"symptomatic",152,116.972678236846
3,"symptomatic",153,100.521515263884
3,"symptomatic",154,86.9174583484279
3,"symptomatic",155,75.6195932395032
3,"symptomatic",156,66.2044463334041
4,"symptomatic",105,54.749267115936
4,"symptomatic",106,45.022437755248
4,"symptomatic",107,38.2158979862168
4,"symptomatic",108,33.2248785581999
4,"symptomatic",109,29.5995347516116
4,"symptomatic",110,27.0444210747551
4,"symptomatic",111,25.3648847360015
4,"symptomatic",112,24.4427488156583
4,"symptomatic",113,24.2233619060575
4,"symptomatic",114,24.7111837676586
4,"symptomatic",115,25.9735095526259
4,"symptomatic",116,28.1536330777103
4,"symptomatic",117,31.4967659228347
4,"symptomatic",118,36.3950058147493
4,"symptomatic",119,43.4624432323282
4,"symptomatic",120,53.6594816582619
4,"symptomatic",121,68.4988330478933
4,"symptomatic",122,90.3877496226333
4,"symptomatic",123,123.195924159092
4,"symptomatic",124,173.187849126046
4,"symptomatic",125,250.509337019811
4,"symptomatic",126,371.403719708386
4,"symptomatic",127,561.029965152493
4,"symptomatic",128,855.575212467545
4,"symptomatic",129,1299.22183055233
4,"symptomatic",130,1926.11054949078
4,"symptomatic",131,2716.07851801257
4,"symptomatic",132,3536.90361500189
4,"symptomatic",133,4144.47887675843
4,"symptomatic",134,4314.51863516142
4,"symptomatic",135,4014.17838321439
4,"symptomatic",136,3411.7657572831
4,"symptomatic",137,2727.05511140477
4,"symptomatic",138,2106.93172316954
4,"symptomatic",139,1606.74171720381
4,"symptomatic",140,1225.96917148584
4,"symptomatic",141,943.073124831276
4,"symptomatic",142,733.991483154634
4,"symptomatic",143,578.684939722606
4,"symptomatic",144,462.154567925112
4,"symptomatic",145,373.644498541406
4,"symptomatic",146,305.549982514993
4,"symptomatic",147,252.49585530159
4,"symptomatic",148,210.658543318083
4,"symptomatic",149,177.292365603686
4,"symptomatic",150,150.404473654145
4,"symptomatic",151,128.532344953887
4,"symptomatic",152,110.590711130748
4,"symptomatic",153,95.7653551288208
4,"symptomatic",154,83.438704749425
4,"symptomatic",155,73.1371965145419
4,"symptomatic",156,64.493711452876
5,"symptomatic",105,51.8328620447321
5,"symptomatic",106,42.8671191604549
5,"symptomatic",107,36.5890249787162
5,"symptomatic",108,31.9831150743011
5,"symptomatic",109,28.6425251875079
5,"symptomatic",110,26.3010367563518
5,"symptomatic",111,24.7845855632303
5,"symptomatic",112,23.9897976543377
5,"symptomatic",113,23.8729501992148
5,"symptomatic",114,24.4469189440003
5,"symptomatic",115,25.7859392946178
5,"symptomatic",116,28.0396448924887
5,"symptomatic",117,31.4598469530894
5,"symptomatic",118,36.4465098304864
5,"symptomatic",119,43.6242272311277
5,"symptomatic",120,53.9685984321918
5,"symptomatic",121,69.0154830344172
5,"symptomatic",122,91.2085328571993
5,"symptomatic",123,124.475762050822
5,"symptomatic",124,175.175915827418
5,"symptomatic",125,253.606786978968
5,"symptomatic",126,376.252471733633
5,"symptomatic",127,568.636897262464
5,"symptomatic",128,867.449689569126
5,"symptomatic",129,1317.42504107042
5,"symptomatic",130,1952.95178734159
5,"symptomatic",131,2753.03434693453
5,"symptomatic",132,3582.63216514901
5,"symptomatic",133,4193.11959997944
5,"symptomatic",134,4356.69849183645
5,"symptomatic",135,4041.22308111911
5,"symptomatic",136,3419.68909367889
5,"symptomatic",137,2717.11386839444
5,"symptomatic",138,2083.47396656234
5,"symptomatic",139,1574.80349958075
5,"symptomatic",140,1189.8825406535
5,"symptomatic",141,906.027826274525
5,"symptomatic",142,698.101189646036
5,"symptomatic",143,545.220672745873
5,"symptomatic",144,431.785170829038
5,"symptomatic",145,346.632077700582
5,"symptomatic",146,281.894429347268
5,"symptomatic",147,232.036915066851
5,"symptomatic",148,193.145894696038
5,"symptomatic",149,162.432574195782
5,"symptomatic",150,137.891576168867
5,"symptomatic",151,118.06703167423
5,"symptomatic",152,101.891699372615
5,"symptomatic",153,88.5755160538611
5,"symptomatic",154,77.527741463111
5,"symptomatic",155,68.3021123114091
5,"symptomatic",156,60.5579070367728
6,"symptomatic",105,48.5420229096579
6,"symptomatic",106,40.299411669225
6,"symptomatic",107,34.539953177102
6,"symptomatic",108,30.3242715107059
6,"symptomatic",109,27.2798570331868
6,"symptomatic",110,25.1646980449648
6,"symptomatic",111,23.8223371093662
6,"symptomatic",112,23.1623357627048
6,"symptomatic",113,23.1505890829057
6,"symptomatic",114,23.8072681362014
6,"symptomatic",115,25.2123469198341
6,"symptomatic",116,27.5202800227801
6,"symptomatic",117,30.9873929544359
6,"symptomatic",118,36.018557012229
6,"symptomatic",119,43.2446172183086
6,"symptomatic",120,53.6502331246264
6,"symptomatic",121,68.7855497116092
6,"symptomatic",122,91.1178501070635
6,"symptomatic",123,124.615230573698
6,"symptomatic",124,175.705138014301
6,"symptomatic",125,254.80295661136
6,"symptomatic",126,378.590916689565
6,"symptomatic",127,572.914226605952
6,"symptomatic",128,874.943327660811
6,"symptomatic",129,1330.01825151348
6,"symptomatic",130,1973.00160424474
6,"symptomatic",131,2782.57627228454
6,"symptomatic",132,3621.69462837301
6,"symptomatic",133,4238.03274596009
6,"symptomatic",134,4400.4711576784
6,"symptomatic",135,4076.65783490932
6,"symptomatic",136,3442.65845004081
6,"symptomatic",137,2727.34401248166
6,"symptomatic",138,2083.18015146502
6,"symptomatic",139,1566.98237964616
6,"symptomatic",140,1177.26871365384
6,"symptomatic",141,890.729406844682
6,"symptomatic",142,681.604835248192
6,"symptomatic",143,528.521803317567
6,"symptomatic",144,415.526286937592
6,"symptomatic",145,331.212147111475
6,"symptomatic",146,267.546505065752
6,"symptomatic",147,218.881085555393
6,"symptomatic",148,181.22523207055
6,"symptomatic",149,151.73784061227
6,"symptomatic",150,128.378515679165
6,"symptomatic",151,109.668685649064
6,"symptomatic",152,94.5272976993226
6,"symptomatic",153,82.1569521083509
6,"symptomatic",154,71.9643016600834
6,"symptomatic",155,63.5039157693783
6,"symptomatic",156,56.4383697463158
7,"symptomatic",105,45.9574987759295
7,"symptomatic",106,38.1834690814889
7,"symptomatic",107,32.7718167875371
7,"symptomatic",108,28.8273099794287
7,"symptomatic",109,25.9951694111783
7,"symptomatic",110,24.0463316685705
7,"symptomatic",111,22.8342056565729
7,"symptomatic",112,22.2759160791893
7,"symptomatic",113,22.3432009520558
7,"symptomatic",114,23.0608303162133
7,"symptomatic",115,24.5125531339183
7,"symptomatic",116,26.8561928675496
